t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
5120,-0.0818,-0.7351,0.6797,1.527,1.939,-0.275,-47.24,-47.10
5140,-0.0582,-0.7375,0.7003,1.237,3.038,-1.115,-46.48,-47.07
5160,-0.0524,-0.7410,0.6945,0.076,2.824,-0.015,-46.86,-47.06
5180,-0.0691,-0.7366,0.6852,0.366,1.634,0.107,-47.07,-47.05
5200,-0.0537,-0.7379,0.6963,0.534,1.237,0.275,-46.66,-47.03
5220,-0.0602,-0.7310,0.6967,-0.687,1.756,0.840,-46.38,-47.03
5240,-0.0702,-0.7358,0.6968,-1.511,2.626,0.687,-46.56,-47.06
5260,-0.0627,-0.7382,0.6876,-2.092,5.435,-0.305,-47.03,-47.10
5280,-0.0460,-0.7357,0.6863,-1.969,7.282,0.443,-46.99,-47.13
5300,-0.0660,-0.7390,0.6760,-1.313,3.695,2.672,-47.55,-47.17
5320,-0.0811,-0.7350,0.6831,-0.489,-1.420,3.099,-47.10,-47.17
5340,-0.0771,-0.7394,0.6888,-0.641,0.641,0.962,-47.03,-47.18
5360,-0.0535,-0.7394,0.6923,-1.008,2.733,1.160,-46.89,-47.20
5398,-0.0940,-0.7448,0.6682,0.916,-3.191,2.931,-48.10,-47.20
5402,-0.1022,-0.7456,0.6721,1.267,-3.603,2.397,-47.97,-47.19
5420,-0.0857,-0.7336,0.6802,2.137,-2.153,-0.748,-47.17,-47.15
5440,-0.0620,-0.7417,0.6807,2.473,0.870,-1.481,-47.46,-47.10
5460,-0.0620,-0.7379,0.6711,3.954,-1.573,-0.229,-47.71,-47.04
5480,-0.0654,-0.7390,0.6755,6.321,-6.748,1.832,-47.57,-46.93
5500,-0.0724,-0.7338,0.6886,6.977,-9.099,2.092,-46.82,-46.79
5520,-0.0646,-0.7252,0.6968,6.641,-5.221,0.550,-46.15,-46.64
5540,-0.0540,-0.7296,0.6998,6.092,-2.305,0.656,-46.19,-46.51
5560,-0.0702,-0.7284,0.6902,6.092,-3.679,1.344,-46.54,-46.40
5580,-0.0652,-0.7236,0.6978,6.595,-3.802,0.595,-46.04,-46.26
5600,-0.0446,-0.7244,0.7092,6.107,-1.664,1.023,-45.60,-46.13
5620,-0.0529,-0.7334,0.7069,5.588,-1.344,2.977,-46.05,-46.02
5640,-0.0825,-0.7224,0.6812,6.718,-2.595,2.550,-46.68,-45.90
5660,-0.0767,-0.7164,0.6949,8.198,-3.053,0.947,-45.87,-45.74
5680,-0.0511,-0.7131,0.7238,7.603,-1.679,0.626,-44.58,-45.56
5700,-0.0582,-0.7142,0.7114,6.534,0.366,1.038,-45.11,-45.43
5720,-0.0708,-0.7152,0.7056,6.809,1.206,0.366,-45.39,-45.29
5740,-0.0725,-0.7129,0.7114,7.145,0.489,-0.733,-45.06,-45.15
5761,-0.0679,-0.7084,0.7141,7.328,1.847,-1.389,-44.77,-45.00
5780,-0.0826,-0.7133,0.7104,7.542,3.725,-2.794,-45.11,-44.85
5800,-0.0559,-0.7083,0.7219,7.893,3.160,-3.130,-44.45,-44.69
5820,-0.0737,-0.7046,0.7277,7.710,-0.076,-2.504,-44.08,-44.53
5840,-0.0648,-0.7014,0.7322,6.824,-0.214,-3.267,-43.77,-44.38
5860,-0.0640,-0.6932,0.7401,5.359,2.473,-4.046,-43.13,-44.25
5880,-0.0334,-0.7042,0.7419,3.634,2.382,-3.176,-43.51,-44.16
5900,-0.0454,-0.6897,0.7510,1.832,0.382,-0.290,-42.56,-44.09
5921,-0.0577,-0.6965,0.7372,-0.397,0.458,0.702,-43.38,-44.09
5940,-0.0647,-0.6968,0.7308,-0.947,0.198,0.595,-43.63,-44.10
5960,-0.0453,-0.6945,0.7426,-2.168,-0.534,1.618,-43.08,-44.12
5981,-0.0706,-0.6938,0.7330,-3.786,-0.076,1.405,-43.43,-44.18
6000,-0.0574,-0.7004,0.7317,-4.412,-0.305,1.313,-43.75,-44.26
6020,-0.0673,-0.7103,0.7173,-4.214,-0.122,1.130,-44.72,-44.35
6040,-0.0811,-0.7068,0.7101,-3.130,-0.076,0.076,-44.87,-44.42
6060,-0.0746,-0.7052,0.7174,-2.458,1.069,-1.802,-44.51,-44.47
6080,-0.0657,-0.7026,0.7196,-2.580,3.527,-3.130,-44.32,-44.52
6100,-0.0669,-0.7101,0.7085,-1.878,2.855,-3.099,-45.06,-44.56
6120,-0.0658,-0.7096,0.7139,-0.763,1.588,-3.450,-44.83,-44.59
6140,-0.0447,-0.7023,0.7234,-0.504,2.534,-2.641,-44.15,-44.59
